_quality_rank,catalog_profile_slug,catalog_profile_name,source_type,source_value,page,limit,hasNextPage,scrollId,itemId,shopId,shopName,productName,productLink,offerLink,imageUrl,commissionRate,appExistRate,appNewRate,webExistRate,webNewRate,commission,price,sales,periodEndTime,periodStartTime,priceMin,priceMax,productCatIds,ratingStar,priceDiscountRate,shopType,sellerCommissionRate,shopeeCommissionRate,source_hits,subniches,_source_row,_dedupe_key,_duplicate_count,duplicate_name_price_tag,duplicate_name_price_group_id,duplicate_name_price_group_size,duplicate_name_price_keeper,subniche_basis,source_keywords_norm,unmapped_source_keywords
79089,feminino,Feminino,keyword,escova secadora,39,50,True,,22897561432,410705973,Jorge.store,Escova Secadora 3 Em 1 Íon Negativo 110V Secador De Cabelo Pente De Ar Quente Modelador Profissional,https://shopee.com.br/product/410705973/22897561432,https://s.shopee.com.br/6L2MuX7jSt,https://cf.shopee.com.br/file/sg-11134201-824in-mpscdl021nnva1,0.03,0.03,0.03,0.03,0.03,1.5897,52.99,4,1782874799,1777258800,52.99,62.99,"[100630, 100663, 100889]",4.6,79,[2],0.0,0.03,"[""keyword:escova secadora""]","[""cabelo-ferramentas""]",28958,410705973:22897561432,1,candidato_revisao_duplicata_nome_preco,dup_np_000463,3,false,source_hits,"[""escova secadora""]",[]
79122,feminino,Feminino,keyword,roupa barata,22,50,True,,22193720894,428018799,Daliluxo cia,Fantasia Carnaval Barata Colar Havaiano Kit 4 Peças Envio Já,https://shopee.com.br/product/428018799/22193720894,https://s.shopee.com.br/AKYVqz0ZSW,https://cf.shopee.com.br/file/sg-11134201-7rcdx-m65k1xrzbs6j75,0.08,0.08,0.08,0.08,0.08,1.584,19.8,0,1782874799,1777258800,19.8,19.8,"[100011, 100049, 0]",5.0,0,[],0.05,0.03,"[""keyword:roupa barata""]","[""moda-ofertas-e-basicos""]",171784,428018799:22193720894,1,candidato_revisao_duplicata_nome_preco,dup_np_000490,2,false,source_hits,"[""roupa barata""]",[]
79137,feminino,Feminino,keyword,depilador feminino,18,50,True,,43180253113,1640657662,miaonuo22.br,Depilador Elétrico Feminino 4 em 1 Barbeador Aparador de Pelos Corporais Nariz e Sobrancelhas Recarregável,https://shopee.com.br/product/1640657662/43180253113,https://s.shopee.com.br/4AxsLROYsw,https://cf.shopee.com.br/file/cn-11134207-820l4-mn564xmh78jkcd,0.03,0.03,0.03,0.03,0.03,1.5777,52.59,0,1782874799,1777258800,52.59,95.75,"[100630, 100663, 100888]",5.0,33,[2],0.0,0.03,"[""keyword:depilador feminino""]","[""cuidados-depilacao""]",47812,1640657662:43180253113,1,candidato_revisao_duplicata_nome_preco,dup_np_000430,2,false,source_hits,"[""depilador feminino""]",[]
79167,feminino,Feminino,keyword,lixa elétrica unha,37,50,True,,58257028706,1628134062,Bella Vita Gospel,Kit Cabine Sun 5 48w Uv/led + Lixadeira Caneta Lixa Motor Unha Elétrica Profissional Bivolt,https://shopee.com.br/product/1628134062/58257028706,https://s.shopee.com.br/5L9pjWz7wv,https://cf.shopee.com.br/file/br-11134207-820lb-mlwjm5rtge1027,0.03,0.03,0.03,0.03,0.03,1.5657,52.19,50,1782874799,1777258800,52.19,52.19,"[100630, 100658, 100867]",4.9,42,[2],0.0,0.03,"[""keyword:lixa elétrica unha""]","[""unhas-manicure""]",46810,1628134062:58257028706,1,candidato_revisao_duplicata_nome_preco,dup_np_000650,2,false,source_hits,"[""lixa elétrica unha""]",[]
79216,feminino,Feminino,keyword,rímel,11,50,True,,22098075680,488948242,AAB Mega Compras,GEL INCOLOR CÍLIOS Ruby Rose + SOBRANCELHAS GAME ON Ruby Rose rímel,https://shopee.com.br/product/488948242/22098075680,https://s.shopee.com.br/3g1bii9uAP,https://cf.shopee.com.br/file/br-11134207-7r98o-m357ujzz42yted,0.13,0.13,0.13,0.13,0.13,1.5587,11.99,25,1782874799,1777258800,11.99,11.99,"[100630, 100662, 100882]",4.9,76,[],0.1,0.03,"[""keyword:rímel""]","[""maquiagem-olhos""]",8612,488948242:22098075680,1,candidato_revisao_duplicata_nome_preco,dup_np_000503,2,false,source_hits,"[""rímel""]",[]
79344,feminino,Feminino,keyword,escova secadora,37,50,True,,24340790150,1432047779,Denyu.br,Escova Secadora 110/220v Alisador Elétrica Escova de ar quente Modeladores de cabelo Com 3 Em1 Hair,https://shopee.com.br/product/1432047779/24340790150,https://s.shopee.com.br/9KfyU2hwZo,https://cf.shopee.com.br/file/cn-11134207-7ras8-m5cp1r5l3rq98a,0.03,0.03,0.03,0.03,0.03,1.5297,50.99,741,1782874799,1777258800,50.99,59.99,"[100630, 100663, 100889]",4.8,60,[2],0.0,0.03,"[""keyword:escova secadora""]","[""cabelo-ferramentas""]",28866,1432047779:24340790150,1,candidato_revisao_duplicata_nome_preco,dup_np_000459,3,false,source_hits,"[""escova secadora""]",[]
79346,feminino,Feminino,keyword,escova secadora,38,50,True,,43408801912,1584386289,Libo2202.br,Escova Secadora 110/220v Alisador Elétrica Escova de ar quente Modeladores de cabelo Com 3 Em1 Hair,https://shopee.com.br/product/1584386289/43408801912,https://s.shopee.com.br/6AiwiE3y1M,https://cf.shopee.com.br/file/cn-11134207-820l4-mk8x6hhzq2v992,0.03,0.03,0.03,0.03,0.03,1.5297,50.99,71,1782874799,1777258800,50.99,129.0,"[100630, 100663, 100889]",4.8,62,[2],0.0,0.03,"[""keyword:escova secadora""]","[""cabelo-ferramentas""]",28915,1584386289:43408801912,1,candidato_revisao_duplicata_nome_preco,dup_np_000459,3,false,source_hits,"[""escova secadora""]",[]
79391,feminino,Feminino,keyword,lixa elétrica unha,21,50,True,,19599841714,669762073,SHOPEM ELETRONICOS,Lixador de Pé Elétrico - Esfoliador Tira Calos Pedicure Portátil Marisa Lixa Elimina Calo Portátil Usb Pilha,https://shopee.com.br/product/669762073/19599841714,https://s.shopee.com.br/2BCnxgcaws,https://cf.shopee.com.br/file/sg-11134201-7rdvd-mbxyuqpjutx101,0.08,0.08,0.08,0.08,0.08,1.5192,18.99,0,1782874799,1777258800,18.99,18.99,"[100630, 100658, 100867]",5.0,0,[],0.05,0.03,"[""keyword:lixa elétrica unha""]","[""unhas-manicure""]",46044,669762073:19599841714,1,candidato_revisao_duplicata_nome_preco,dup_np_000772,4,false,source_hits,"[""lixa elétrica unha""]",[]
79428,feminino,Feminino,keyword,saida de praia,34,50,True,,23998324165,1490854388,martinsmerces,Canga - Saida De Praia Grande Moda Praia Verão Em Promoção,https://shopee.com.br/product/1490854388/23998324165,https://s.shopee.com.br/3B5LHMzgcQ,https://cf.shopee.com.br/file/sg-11134201-7rd6z-m7jhlisexlo67b,0.08,0.08,0.08,0.08,0.08,1.512,18.9,1,1782874799,1777258800,18.9,18.9,"[100637, 100727, 101314]",4.8,0,[],0.05,0.03,"[""keyword:saida de praia""]","[""moda-praia""]",151288,1490854388:23998324165,1,candidato_revisao_duplicata_nome_preco,dup_np_000295,2,false,source_hits,"[""saida de praia""]",[]
79429,feminino,Feminino,keyword,lixa elétrica unha,28,50,True,,42228664688,1398934533,Zestify.br,Removedor De Cutículas E Lixa Eletrônica Portátil Lixadeira Unha Elétrica Profissional,https://shopee.com.br/product/1398934533/42228664688,https://s.shopee.com.br/50WzKu9jkz,https://cf.shopee.com.br/file/cn-11134207-820l4-mkhy1qlu6sjncc,0.07,0.07,0.07,0.07,0.07,1.5113,21.59,45,1782874799,1777258800,21.59,21.59,"[100630, 100658, 100867]",4.8,0,[],0.04,0.03,"[""keyword:lixa elétrica unha""]","[""unhas-manicure""]",46351,1398934533:42228664688,1,candidato_revisao_duplicata_nome_preco,dup_np_000918,4,false,source_hits,"[""lixa elétrica unha""]",[]
